Size	W	DistM	AckM	stopM	ComputeT	TotalT
4	2	64	64	52	2.122e-311	0.0461659
4	2	64	64	52	2.122e-311	0.0453811
4	2	64	64	46	2.122e-311	0.044687
4	4	64	64	51	2.122e-311	0.0384281
4	4	64	64	52	2.122e-311	0.039578
4	4	64	64	52	2.122e-311	0.043288
8	4	276	276	192	2.122e-311	0.127547
8	4	272	272	192	2.122e-311	0.106428
8	4	312	312	191	2.122e-311	0.118939
8	2	304	304	187	2.122e-311	0.165145
8	2	256	256	191	2.122e-311	0.161369
8	2	300	300	191	2.122e-311	0.198308
16	4	1480	1480	760	2.122e-311	0.363885
16	4	1160	1160	722	2.122e-311	1.13958
16	4	1280	1280	745	2.122e-311	1.17669
16	4	1464	1464	740	2.122e-311	1.22077
16	4	1152	1152	762	2.122e-311	1.16227
16	4	1436	1436	752	2.122e-311	1.16824
16	4	1136	1136	752	2.122e-311	0.302621
10	1	620	620	301	2.122e-311	0.153746
10	2	552	552	290	2.122e-311	1.19267
10	2	492	492	304	2.122e-311	0.268529
30	4	4560	4560	2697	2.122e-311	2.65864
2	1	16	16	10	2.122e-311	0.045326
3	1	36	36	27	2.122e-311	0.0377951
4	1	64	64	49	2.122e-311	0.0400069
5	1	112	112	79	2.122e-311	0.0595279
6	1	180	180	109	2.122e-311	0.062511
7	1	280	280	151	2.122e-311	0.0788369
8	1	404	404	192	2.122e-311	0.109213
9	1	652	652	244	2.122e-311	0.145482
10	1	672	672	301	2.122e-311	0.156705
11	1	912	912	364	2.122e-311	0.178773
12	1	988	988	433	2.122e-311	0.217239
13	1	1048	1048	508	2.122e-311	0.2302
14	1	1700	1700	589	2.122e-311	0.318069
15	1	2172	2172	676	2.122e-311	0.406017
16	1	2520	2520	768	2.122e-311	0.476261
17	1	2428	2428	868	2.122e-311	0.495151
18	1	3020	3020	976	2.122e-311	0.574258
2	1	16	16	10	2.122e-311	0.0388649
2	1	16	16	10	2.122e-311	0.040808
2	1	16	16	10	2.122e-311	0.0377309
2	1	16	16	6	2.122e-311	0.037034
2	1	16	16	10	2.122e-311	0.0387921
2	1	16	16	9	2.122e-311	0.039067
2	1	16	16	10	2.122e-311	0.041081
2	1	16	16	10	2.122e-311	0.0406148
2	1	16	16	10	2.122e-311	0.039026
2	1	16	16	9	2.122e-311	0.0377572
3	1	48	48	28	2.122e-311	0.050282
3	1	36	36	31	2.122e-311	0.037986
3	1	40	40	28	2.122e-311	0.0506279
3	1	36	36	28	2.122e-311	0.0408499
3	1	44	44	18	2.122e-311	0.051857
3	1	44	44	28	2.122e-311	0.053545
3	1	40	40	31	2.122e-311	0.0507898
3	1	40	40	31	2.122e-311	0.0645149
3	1	36	36	31	2.122e-311	0.0390761
3	1	40	40	31	2.122e-311	0.0499899
4	1	68	68	48	2.122e-311	0.0528409
4	1	68	68	49	2.122e-311	0.0476279
4	1	64	64	48	2.122e-311	0.0376401
4	1	68	68	49	2.122e-311	0.0521169
4	1	72	72	44	2.122e-311	0.050025
4	1	64	64	50	2.122e-311	0.0411019
4	1	64	64	51	2.122e-311	0.042027
4	1	68	68	49	2.122e-311	0.0527649
4	1	72	72	46	2.122e-311	0.050859
4	1	64	64	49	2.122e-311	0.0404851
5	1	124	124	79	2.122e-311	0.058202
5	1	140	140	78	2.122e-311	0.062279
5	1	136	136	67	2.122e-311	0.061332
5	1	116	116	79	2.122e-311	0.055001
5	1	104	104	76	2.122e-311	0.0566711
5	1	132	132	76	2.122e-311	0.0707841
5	1	172	172	76	2.122e-311	0.0690081
5	1	120	120	78	2.122e-311	0.0586638
5	1	136	136	76	2.122e-311	0.057436
5	1	128	128	79	2.122e-311	0.0670681
6	1	208	208	109	2.122e-311	0.0743539
6	1	184	184	109	2.122e-311	0.075666
6	1	180	180	110	2.122e-311	0.0689738
6	1	188	188	106	2.122e-311	0.087759
6	1	184	184	109	2.122e-311	0.0743041
6	1	168	168	109	2.122e-311	0.074368
6	1	172	172	110	2.122e-311	0.069654
6	1	164	164	109	2.122e-311	0.068635
6	1	168	168	107	2.122e-311	0.067801
6	1	220	220	112	2.122e-311	0.0739501
7	1	288	288	151	2.122e-311	0.081753
7	1	276	276	151	2.122e-311	0.084692
7	1	288	288	148	2.122e-311	0.0960212
7	1	292	292	146	2.122e-311	0.084178
7	1	272	272	148	2.122e-311	0.074249
7	1	220	220	148	2.122e-311	0.071135
7	1	264	264	151	2.122e-311	0.076304
