Size	W	DistM	AckM 	StopM	ComputeT	TotalT
5	1	7	7	7	0.0051870346	0.039689064
5	1	8	8	7	0.042742968	0.043129921
5	1	7	7	7	0.004899025	0.038929939
5	1	7	7	7	0.004707098	0.038851976
5	1	7	7	7	0.0038099289	0.038770914
10	1	16	16	14	0.047359943	0.048245907
10	1	14	14	14	0.0063638687	0.040230036
10	1	15	15	14	0.043516874	0.044200897
10	1	14	14	14	0.0071628094	0.040875912
10	1	14	14	14	0.0058529377	0.040603161
15	1	26	26	22	0.050658226	0.053323984
15	1	24	24	22	0.050661087	0.050988913
15	1	22	22	22	0.0084819794	   0.038378
15	1	22	22	22	0.014178991	0.038568974
15	1	23	23	22	0.042333126	0.042878866
20	1	32	32	29	0.050583839	0.051677942
20	1	30	30	29	 0.04656291	0.046814919
20	1	29	29	29	0.013482809	0.037633896
20	1	35	35	29	0.050401926	0.050832987
20	1	30	30	29	0.046234846	0.046546936
5	2	7	7	7	0.012989998	0.039213181
5	2	7	7	7	0.019294977	0.041437149
5	2	7	7	7	0.014842987	0.039422035
5	2	7	7	7	0.014324903	0.040048838
5	2	7	7	7	0.014580011	0.039802074
10	2	15	15	14	0.058575869	0.059153795
10	2	16	16	14	0.060750008	0.060968161
10	2	14	14	14	0.022300005	0.037647009
10	2	16	16	13	0.060312986	0.060712099
10	2	15	15	14	0.065129995	0.066024065
15	2	23	23	22	0.070456982	0.075443029
15	2	23	23	22	0.056781054	0.057299852
15	2	25	25	22	 0.07656002	0.077167034
15	2	22	22	22	0.030613184	0.040473938
15	2	23	23	22	0.052654028	0.053272963
20	2	30	30	29	0.073864222	0.074308872
20	2	31	31	29	0.077701092	0.078058958
20	2	30	30	29	0.078181982	0.078669071
20	2	30	30	29	0.079087019	0.080265999
20	2	30	30	29	0.075322151	 0.07802701
5	3	7	7	7	0.015621901	0.042376995
5	3	7	7	6	0.016211033	0.037528992
5	3	7	7	6	0.016477108	0.038222075
5	3	7	7	7	0.013646126	0.039561033
5	3	7	7	7	0.014262199	0.037016869
10	3	16	16	14	0.062966108	 0.06360817
10	3	14	14	14	0.023149967	0.039572001
10	3	14	14	14	0.023257017	0.037572861
10	3	14	14	14	0.024794102	0.036827803
10	3	14	14	14	0.022558928	0.037370205
15	3	22	22	22	0.026731968	0.037956953
15	3	23	23	22	 0.06486392	0.065364838
15	3	23	23	22	0.059885025	0.060303926
15	3	22	22	22	0.030126095	0.040513992
15	3	22	22	22	0.030951023	 0.04300189
20	3	32	32	29	0.083055019	0.089109898
20	3	31	31	29	0.066645145	0.067286015
20	3	31	31	29	0.066637039	0.073772907
20	3	31	31	29	0.067364931	0.067963123
20	3	32	32	29	0.071199894	0.071635008
5	4	7	7	7	0.013803005	0.039993048
5	4	7	7	6	0.013488054	0.037558079
5	4	7	7	6	0.014878035	0.039043903
5	4	7	7	7	0.015829086	0.040017128
5	4	7	7	7	0.013164043	0.036972046
10	4	14	14	14	0.023614168	0.036453962
10	4	15	15	14	0.060095072	0.060554981
10	4	14	14	14	0.021646023	0.037678003
10	4	15	15	14	 0.06291008	0.063447952
10	4	15	15	14	0.063179016	0.063836098
15	4	23	23	22	 0.05712986	0.058288097
15	4	24	24	22	0.062278032	 0.06298995
15	4	24	24	22	0.059843063	0.060513973
15	4	23	23	22	 0.05402112	0.054728031
15	4	23	23	22	0.054072857	 0.05479908
20	4	32	32	29	0.073634863	0.074005127
20	4	32	32	29	0.073384047	0.073953867
20	4	31	31	29	0.072863102	0.073559999
20	4	30	30	29	0.070308924	0.070901155
20	4	30	30	29	0.067161083	0.070782185
