Size	K0	K1	K2	W	DistM	AckM 	StopM	ComputeT	TotalT
5	1	2	4	1	30	30	24	0.0072739124	0.038429976
5	1	2	4	1	30	30	22	0.007256031	0.037615061
5	1	2	4	1	30	30	25	0.0094840527	0.039157867
5	1	2	4	1	30	30	27	0.0079338551	0.040278912
5	1	2	4	1	36	36	26	0.057729006	0.058558941
10	1	2	4	1	60	60	55	0.014414072	0.040542126
10	1	2	4	1	66	66	53	0.051564932	0.053358078
10	1	2	4	1	72	72	52	0.048121214	0.049457073
10	1	2	4	1	90	90	50	 0.05893898	0.060883045
10	1	2	4	1	60	60	56	0.012132883	0.039531946
15	1	2	4	1	102	102	81	 0.04690814	0.049932957
15	1	2	4	1	114	114	81	0.049408197	 0.05035305
15	1	2	4	1	144	144	80	0.061355829	0.064735174
15	1	2	4	1	90	90	72	0.020703077	0.036983013
15	1	2	4	1	114	114	74	0.048959017	0.049514055
20	1	2	4	1	162	162	106	0.067410946	0.071081877
20	1	2	4	1	156	156	106	0.053632975	0.057268858
20	1	2	4	1	150	150	106	0.052249908	0.056193113
20	1	2	4	1	138	138	105	0.051587105	0.052042007
20	1	2	4	1	180	180	106	0.063895941	0.066019058
5	1	2	4	2	30	30	19	 0.02721405	0.037894011
5	1	2	4	2	30	30	29	0.033070087	 0.04360199
5	1	2	4	2	30	30	28	0.033186913	 0.04460597
5	1	2	4	2	30	30	12	0.030673981	0.037423134
5	1	2	4	2	30	30	27	0.029052019	0.041486979
10	1	2	4	2	60	60	56	0.037945986	0.044961929
10	1	2	4	2	60	60	56	0.037680864	0.045241833
10	1	2	4	2	66	66	47	0.053905964	0.057792902
10	1	2	4	2	60	60	52	0.035884142	0.038676023
10	1	2	4	2	60	60	48	0.035665035	0.040265083
15	1	2	4	2	120	120	71	0.097795963	0.098624945
15	1	2	4	2	132	132	78	0.084794998	0.085665941
15	1	2	4	2	114	114	77	0.082494974	0.086965084
15	1	2	4	2	90	90	71	0.072489023	0.072998047
15	1	2	4	2	126	126	76	0.080986023	0.082016945
20	1	2	4	2	150	150	97	 0.08033514	0.080940962
20	1	2	4	2	132	132	103	0.074807882	0.081195116
20	1	2	4	2	138	138	101	0.073801041	0.082540989
20	1	2	4	2	168	168	95	 0.10991096	 0.11086893
20	1	2	4	2	156	156	106	0.090964079	 0.11009002
5	1	2	4	3	30	30	27	0.029379129	0.039988995
5	1	2	4	3	30	30	18	0.032929897	 0.03831315
5	1	2	4	3	30	30	28	0.032982826	0.042154074
5	1	2	4	3	30	30	19	0.028232098	 0.03889513
5	1	2	4	3	30	30	22	0.030589104	0.039695024
10	1	2	4	3	66	66	41	0.077367067	0.078053951
10	1	2	4	3	60	60	40	0.053869009	0.054563046
10	1	2	4	3	60	60	50	0.050904989	0.055408001
10	1	2	4	3	60	60	47	0.051151037	0.053755045
10	1	2	4	3	60	60	51	 0.05052495	0.054810047
15	1	2	4	3	108	108	79	0.094794989	 0.10795808
15	1	2	4	3	108	108	70	  0.1014719	 0.10226893
15	1	2	4	3	96	96	70	 0.08280015	0.084721804
15	1	2	4	3	90	90	71	0.076739073	0.082303047
15	1	2	4	3	90	90	80	0.083052158	0.084052086
20	1	2	4	3	132	132	99	 0.10720396	 0.10791898
20	1	2	4	3	138	138	96	 0.10223579	 0.10322499
20	1	2	4	3	138	138	101	  0.1197629	 0.12046099
20	1	2	4	3	150	150	94	 0.12252879	 0.12334704
20	1	2	4	3	168	168	105	 0.14093208	 0.14718294
5	1	2	4	4	30	30	17	0.027095079	0.037278891
