Size	MaxN	W	DistM	AckM	StopM	ComputeT	TotalT
7	1	1	7	7	6	0.0060639381	0.037773848
7	1	1	7	7	6	0.0057778358	0.037509918
7	1	1	7	7	6	0.0058500767	0.038136005
7	1	1	7	7	7	0.0051450729	0.038462877
7	1	1	7	7	6	0.0056378841	0.038346052
10	1	1	10	10	9	0.0087120533	 0.03806901
10	1	1	10	10	9	0.008728981	0.037907124
10	1	1	10	10	9	0.010681152	0.037999868
10	1	1	10	10	9	0.008810997	0.037933111
10	1	1	10	10	9	0.0088288784	 0.03835392
15	1	1	15	15	14	0.013067007	0.037946939
15	1	1	15	15	14	0.015855789	0.040140152
15	1	1	15	15	14	0.013995886	0.038277149
15	1	1	15	15	14	0.013509989	0.038038969
15	1	1	15	15	14	0.014108896	0.037750959
20	1	1	20	20	19	0.017480135	0.038458109
20	1	1	20	20	19	0.019540071	0.037118912
20	1	1	20	20	19	 0.01742816	0.037983894
20	1	1	20	20	19	0.017705917	0.038245916
20	1	1	20	20	19	0.018965006	0.039400816
7	1	2	7	7	6	0.027905941	0.037820101
7	1	2	7	7	6	0.030687094	0.038686037
7	1	2	7	7	6	0.028182983	0.037739992
7	1	2	7	7	6	0.028923035	0.038038015
7	1	2	7	7	6	0.035601854	0.037843943
10	1	2	10	10	9	0.043857098	0.044169903
10	1	2	10	10	9	0.045159817	0.045619965
10	1	2	10	10	9	0.046710014	0.047122955
10	1	2	10	10	9	0.044677973	0.044991016
10	1	2	10	10	9	0.045230865	0.045582056
15	1	2	15	15	14	0.072832108	0.073261023
15	1	2	15	15	14	 0.06638813	0.066827059
15	1	2	15	15	14	0.067167997	0.067437172
15	1	2	15	15	14	0.069783926	0.070118904
15	1	2	15	15	14	0.067635059	0.068053961
20	1	2	20	20	19	0.094046116	0.094388962
20	1	2	20	20	19	0.095188856	0.095508099
20	1	2	20	20	19	0.093974113	0.094322205
20	1	2	20	20	19	 0.09284997	0.093504906
20	1	2	20	20	19	0.091567993	0.091861963
7	1	3	7	7	6	0.027787924	0.037838936
7	1	3	7	7	6	0.028183937	0.037312984
7	1	3	7	7	6	 0.02699995	0.037714005
7	1	3	7	7	6	0.028104067	0.037883043
7	1	3	7	7	6	0.027712107	0.037585974
10	1	3	10	10	9	0.047244072	0.047526121
10	1	3	10	10	9	0.041393995	0.041779995
10	1	3	10	10	9	0.041083097	0.041423082
10	1	3	10	10	9	0.040614128	0.041000128
10	1	3	10	10	9	 0.04124403	0.041546106
15	1	3	15	15	14	0.069200039	0.070122004
15	1	3	15	15	14	0.067039967	0.067321062
15	1	3	15	15	14	0.065725088	0.066092014
15	1	3	15	15	14	0.070478201	0.071463108
15	1	3	15	15	14	0.065164089	   0.066257
20	1	3	20	20	19	0.090198994	0.090588093
20	1	3	20	20	19	0.088614941	0.089699984
20	1	3	20	20	19	0.089219093	0.089491129
20	1	3	20	20	19	 0.08813715	0.088564157
20	1	3	20	20	19	0.088600159	0.088909864
7	1	4	7	7	6	0.029805899	 0.03948617
7	1	4	7	7	6	0.030162811	0.040292978
7	1	4	7	7	7	 0.03012085	0.040101051
7	1	4	7	7	6	0.029876947	0.039074898
7	1	4	7	7	6	0.030123949	0.037879944
10	1	4	10	10	9	0.044164896	 0.04467082
10	1	4	10	10	9	0.044608116	0.045182943
10	1	4	10	10	9	0.044700146	0.045297861
10	1	4	10	10	9	0.045502901	0.045907021
10	1	4	10	10	9	0.043766975	 0.04419899
15	1	4	15	15	14	0.066921234	0.067389011
15	1	4	15	15	14	0.066159964	0.066697836
15	1	4	15	15	14	0.066735983	0.067137957
15	1	4	15	15	14	0.065634012	0.065969944
15	1	4	15	15	14	0.067520142	0.068003893
20	1	4	20	20	19	 0.09147501	0.091943979
20	1	4	20	20	19	0.089354038	0.089895964
20	1	4	20	20	19	0.089364052	0.089763165
20	1	4	20	20	19	0.091940165	0.092586994
20	1	4	20	20	19	0.090784073	0.091142178
7	6	1	14	14	14	0.006770134	0.038158894
7	6	1	22	22	20	0.010632992	0.040109873
7	6	1	19	19	13	0.051064014	0.053247929
7	6	1	29	29	19	0.011712074	0.038362026
7	6	1	19	19	14	0.012335062	0.037518024
10	9	1	69	69	29	0.054570198	0.054978848
10	9	1	57	57	41	0.047780037	0.048223019
10	9	1	59	59	51	0.047435045	0.047822952
10	9	1	55	55	57	0.015147209	  0.0365839
10	9	1	59	59	50	0.048318148	  0.0500319
15	14	1	178	178	105	0.050924063	0.053654909
15	14	1	133	133	112	0.054974794	0.057745934
15	14	1	167	167	111	0.055851936	0.056413174
15	14	1	107	107	107	0.021315098	0.041409969
15	14	1	143	143	90	0.061061859	0.061720133
20	19	1	441	441	180	0.091123819	0.094588041
20	19	1	247	247	200	0.057734966	 0.06060195
20	19	1	175	175	135	0.054978848	0.058898926
20	19	1	308	308	197	0.065041065	0.066514015
20	19	1	262	262	140	0.066911936	0.067141056
7	6	2	32	32	24	0.052537203	0.053142786
7	6	2	26	26	30	0.035874128	0.043927908
7	6	2	16	16	6	0.032957077	0.037322998
7	6	2	28	28	26	0.036638021	0.042994022
7	6	2	20	20	9	0.029382944	0.038227081
10	9	2	50	50	44	0.044735193	0.046172857
10	9	2	60	60	49	0.071685076	  0.0726192
10	9	2	60	60	58	0.059782028	0.060220957
10	9	2	47	47	39	 0.04871583	0.053486109
10	9	2	39	39	38	0.043020964	0.045145035
15	14	2	153	153	109	 0.11704707	 0.12019491
15	14	2	100	100	61	0.095642805	0.096169949
15	14	2	113	113	90	0.094805002	0.095429897
15	14	2	111	111	93	0.096135855	 0.10390306
15	14	2	129	129	130	0.080260038	0.080947876
20	19	2	319	319	207	 0.14433599	  0.1519711
20	19	2	276	276	234	 0.17038703	 0.19692302
20	19	2	326	326	183	 0.18676496	 0.20786715
20	19	2	372	372	198	 0.20816112	 0.22032404
20	19	2	318	318	211	 0.22344494	 0.24126101
7	6	3	21	21	18	0.023870945	0.037192822
7	6	3	19	19	12	0.034096003	 0.03769207
7	6	3	23	23	17	0.025448084	0.039076805
7	6	3	24	24	21	0.027785063	0.037230968
7	6	3	31	31	34	0.026963949	0.041291952
10	9	3	49	49	25	0.063828945	0.064248085
10	9	3	61	61	56	0.060243845	 0.06385684
10	9	3	60	60	51	0.069155216	0.070936918
10	9	3	40	40	31	0.045099974	0.045659065
10	9	3	73	73	45	0.090301991	0.090928078
15	14	3	165	165	95	 0.09682703	0.098031998
15	14	3	177	177	130	 0.12699318	 0.12796307
15	14	3	109	109	113	0.072542906	0.086811066
15	14	3	118	118	102	0.092210054	  0.1051271
15	14	3	109	109	98	 0.10462379	 0.10537195
20	19	3	260	260	227	 0.15045881	    0.17433
20	19	3	240	240	188	 0.17549706	 0.18003511
20	19	3	310	310	231	 0.22891903	 0.22965908
20	19	3	252	252	170	 0.15968609	 0.16038799
20	19	3	237	237	207	 0.14044809	 0.14184213
7	6	4	27	27	16	   0.033216	 0.03667593
7	6	4	27	27	29	0.025665045	0.041779995
7	6	4	18	18	16	0.022951126	   0.040344
7	6	4	22	22	18	0.023056984	0.040410995
7	6	4	29	29	22	0.024230003	0.037148952
10	9	4	54	54	37	0.042950153	0.043527126
10	9	4	53	53	54	0.035630941	0.044058084
10	9	4	53	53	50	0.050925016	0.054660797
10	9	4	62	62	32	0.066303968	 0.06677103
10	9	4	35	35	27	0.036809921	0.037827969
15	14	4	100	100	96	0.063429832	0.068182945
15	14	4	142	142	127	0.095374107	 0.10682201
15	14	4	131	131	89	0.081606865	0.082195044
15	14	4	127	127	104	0.087437868	0.089545012
15	14	4	116	116	102	0.077021837	0.083807945
20	19	4	205	205	195	 0.10394907	 0.10686302
20	19	4	257	257	202	 0.13786006	 0.15337706
20	19	4	225	225	166	 0.12003493	 0.13359404
20	19	4	299	299	191	   0.161237	 0.16226888
20	19	4	260	260	188	   0.125283	  0.1320858
7	3	1	11	11	11	0.0055341721	 0.03805995
7	3	1	12	12	7	0.0063371658	0.038217068
7	3	1	12	12	15	0.0049650669	0.038995981
7	3	1	18	18	15	0.044386864	0.044837952
7	3	1	15	15	13	0.007422924	0.038674116
10	5	1	22	22	22	0.007600069	0.038147211
10	5	1	22	22	17	0.010236979	0.040312052
10	5	1	30	30	18	0.010138035	0.037905931
10	5	1	35	35	26	0.047570944	0.047999859
10	5	1	27	27	28	0.042185068	0.042555094
15	7	1	61	61	54	0.049342871	0.050040007
15	7	1	64	64	59	0.017138004	0.036370039
15	7	1	76	76	59	0.017758131	0.036579847
15	7	1	52	52	52	0.047043085	0.047886133
15	7	1	57	57	41	0.025128841	0.039947987
20	10	1	127	127	124	0.049154997	0.053804159
20	10	1	146	146	131	0.062250853	0.067085981
20	10	1	145	145	133	0.058902025	0.064341068
20	10	1	193	193	97	0.065085173	0.065438986
20	10	1	140	140	102	0.058729887	0.069367886
7	3	2	11	11	9	0.029857874	0.037940979
7	3	2	15	15	14	0.027734995	0.039975882
7	3	2	18	18	13	0.027838945	0.040171862
7	3	2	11	11	7	0.024101019	 0.03721118
7	3	2	13	13	11	0.031404018	0.039464951
10	5	2	21	21	14	0.033095837	0.036558151
10	5	2	32	32	22	 0.05803299	0.058521986
10	5	2	32	32	23	 0.04716301	0.047647953
10	5	2	24	24	20	0.031563997	0.038459778
10	5	2	37	37	30	0.068725109	0.069416046
15	7	2	66	66	47	0.081496954	0.081998825
15	7	2	77	77	50	0.092282057	0.094880819
15	7	2	69	69	47	  0.1054039	 0.10582519
15	7	2	58	58	41	0.076269865	0.076883078
15	7	2	78	78	67	0.078642845	0.079179049
20	10	2	131	131	106	 0.10223603	 0.10639596
20	10	2	118	118	102	0.097140789	 0.09768796
20	10	2	211	211	118	 0.18302703	 0.18366504
20	10	2	151	151	111	 0.11228609	 0.11451197
20	10	2	140	140	78	  0.1046052	 0.10518098
7	3	3	12	12	7	0.019129992	0.037595987
7	3	3	14	14	11	0.024820089	0.037068129
7	3	3	19	19	12	0.055813074	0.057180166
7	3	3	15	15	10	0.019638062	0.038066864
7	3	3	15	15	10	0.030686855	0.037807941
10	5	3	26	26	16	 0.03610611	0.037611008
10	5	3	38	38	32	0.044276953	0.044861078
10	5	3	25	25	21	0.034050941	0.037653923
10	5	3	31	31	22	0.037730932	0.038316965
10	5	3	31	31	29	0.028889894	0.037546873
15	7	3	78	78	72	0.055190086	0.060918093
15	7	3	50	50	44	0.041712999	0.042341948
15	7	3	68	68	65	0.058354855	0.059130192
15	7	3	73	73	50	0.070743084	0.071318865
15	7	3	52	52	57	0.035386801	0.042915106
20	10	3	155	155	110	 0.11124611	 0.11163092
20	10	3	141	141	114	 0.11165404	  0.1200099
20	10	3	111	111	108	0.093291044	0.094172955
20	10	3	105	105	87	0.086821079	0.088252068
20	10	3	184	184	116	 0.13354301	 0.14575791
7	3	4	10	10	11	 0.02341485	0.040572166
7	3	4	14	14	11	0.022268057	 0.03717494
7	3	4	10	10	8	0.031398058	0.038935184
7	3	4	12	12	10	0.033285856	0.039706945
7	3	4	11	11	12	0.026691914	0.040467978
10	5	4	25	25	19	0.031426907	0.037858009
10	5	4	39	39	32	0.036009073	0.040519953
10	5	4	30	30	30	0.027576208	0.039115191
10	5	4	35	35	20	0.030646801	0.037910938
10	5	4	27	27	19	0.030810118	0.037416935
15	7	4	37	37	26	0.037654877	0.037881851
15	7	4	63	63	62	0.056103945	0.062667131
15	7	4	61	61	52	0.057631016	 0.05812192
15	7	4	55	55	43	0.080624104	0.081573009
15	7	4	53	53	47	0.046022892	0.046468973
20	10	4	114	114	95	0.089554071	0.095242023
20	10	4	106	106	82	 0.07971096	0.080107927
20	10	4	126	126	119	 0.07198596	0.072510958
20	10	4	129	129	116	0.087620974	0.088008165
20	10	4	157	157	108	0.094449043	 0.09576416
