Size	W	DistM	AckM 	StopM	ComputeT	TotalT
5	1	4	4	4	0.0020539761	0.038273096
5	1	4	4	4	0.0027699471	0.036923885
5	1	4	4	4	0.0021939278	0.045356989
5	1	4	4	4	0.0021128654	0.038320065
5	1	4	4	4	0.0022029877	0.039945841
10	1	9	9	9	0.004199028	0.040791035
10	1	9	9	9	0.0040919781	0.037846088
10	1	9	9	9	0.0052449703	0.038265944
10	1	9	9	9	0.0049920082	0.037525892
10	1	9	9	9	0.0042209625	0.037056923
15	1	14	14	14	0.0068311691	0.039216042
15	1	14	14	14	0.014537096	0.036913872
15	1	14	14	14	0.0078849792	0.036998034
15	1	14	14	14	0.0076918602	0.037784815
15	1	14	14	14	0.007972002	0.040437937
20	1	19	19	19	0.0084941387	0.037037849
20	1	19	19	19	0.0089800358	0.036574125
20	1	19	19	19	 0.00958395	 0.03805089
20	1	19	19	19	0.0092799664	0.038441896
20	1	19	19	19	0.0085918903	0.052068949
5	2	4	4	4	0.0042068958	0.037299871
5	2	4	4	4	0.0050618649	0.037523985
5	2	4	4	4	0.0041751862	0.037985086
5	2	4	4	4	0.0035309792	0.040295839
5	2	4	4	4	0.0040419102	0.038079023
10	2	9	9	9	0.0099849701	 0.03706193
10	2	9	9	9	0.0085120201	0.037452936
10	2	9	9	9	0.0080389977	0.038823128
10	2	9	9	9	0.010397196	0.038548946
10	2	9	9	9	0.010277033	0.037019014
15	2	14	14	14	0.011885881	 0.03927803
15	2	14	14	14	0.0097539425	0.037793875
15	2	14	14	14	0.012827158	0.039873123
15	2	14	14	14	  0.0124228	0.039139986
15	2	14	14	14	0.011347055	0.040400028
20	2	19	19	19	0.015156984	0.038596153
20	2	19	19	19	0.013744116	0.038649082
20	2	19	19	19	0.019231796	0.038505077
20	2	19	19	19	0.013175011	0.040327072
20	2	19	19	19	0.026447058	  0.0405581
5	3	4	4	4	0.0040719509	0.037469864
5	3	4	4	4	0.0050890446	0.039374113
5	3	4	4	4	0.0059239864	0.041952133
5	3	4	4	4	0.0051879883	0.039721966
5	3	4	4	4	0.0046598911	0.038398981
10	3	9	9	9	0.009953022	0.037143946
10	3	9	9	9	0.0097181797	0.040191174
10	3	9	9	9	0.0057480335	0.039444923
10	3	9	9	9	0.010432959	0.036520004
10	3	9	9	9	0.0061731339	0.036977053
15	3	14	14	14	0.010862827	0.039000988
15	3	14	14	14	0.016038179	0.036930084
15	3	14	14	14	0.015583992	0.036493063
15	3	14	14	14	0.014469147	0.037132978
15	3	14	14	14	 0.01449585	0.039561033
20	3	19	19	19	0.019040108	0.039865971
20	3	19	19	19	0.018898964	0.040506124
20	3	19	19	19	0.011445045	0.037661076
20	3	19	19	19	0.015253782	0.039906025
20	3	19	19	19	0.015482903	0.038515091
5	4	4	4	4	0.0051491261	0.038922787
5	4	4	4	4	0.0037889481	0.038187981
5	4	4	4	4	0.0052340031	0.037199974
5	4	4	4	4	0.0037460327	0.038605928
5	4	4	4	4	0.0045058727	0.037992001
10	4	9	9	9	0.011543036	0.037034035
10	4	9	9	9	0.010499001	0.037852049
10	4	9	9	9	0.011172056	0.039994001
10	4	9	9	9	0.010720015	0.038919926
10	4	9	9	9	0.0096430779	0.039077997
15	4	14	14	14	0.011870146	0.040177822
15	4	14	14	14	0.0097649097	0.040395975
15	4	14	14	14	0.017146111	0.038348913
15	4	14	14	14	0.013165951	0.038642883
15	4	14	14	14	0.015651226	0.038254976
20	4	19	19	19	0.022572041	0.037804127
20	4	19	19	19	0.016916037	0.037499905
20	4	19	19	19	0.019904852	0.038348198
20	4	19	19	19	0.019268036	0.038866043
20	4	19	19	19	0.012300014	0.039433956
