Size	W	DistM	AckM	stopM	ComputeT	TotalT
2	1	16	16	11	0.00657797	0.0401011
2	1	16	16	10	0.00559902	0.03878
2	1	16	16	10	0.00716114	0.03771
2	1	16	16	5	0.00614691	0.038866
2	1	16	16	7	0.00794601	0.036412
4	1	68	68	49	0.052079	0.0538709
4	1	64	64	42	0.017046	0.0377719
4	1	68	68	49	0.0461609	0.04651
4	1	68	68	49	0.0462682	0.046911
4	1	64	64	50	0.0149591	0.0383742
8	1	388	388	193	0.082031	0.0895271
8	1	336	336	193	0.0917251	0.094759
8	1	312	312	196	0.0842791	0.0921772
8	1	408	408	193	0.0946391	0.0955391
8	1	300	300	195	0.0698509	0.0705011
16	1	1764	1764	765	0.305456	0.329086
16	1	2016	2016	771	0.345808	0.369592
16	1	2756	2756	772	0.460236	0.483048
16	1	2140	2140	772	0.385083	0.410325
16	1	2860	2860	769	0.463765	0.491069
2	2	16	16	6	0.017292	0.0365701
2	2	16	16	7	0.0201881	0.0365601
2	2	16	16	5	0.0145791	0.0364759
2	2	16	16	3	0.0157511	0.038341
2	2	16	16	6	0.015945	0.038348
4	2	64	64	45	0.0474999	0.048521
4	2	64	64	49	0.04649	0.0549281
4	2	64	64	48	0.044482	0.0473292
4	2	72	72	44	0.070116	0.0710981
4	2	64	64	48	0.059716	0.0608418
8	2	376	376	192	0.314884	0.315296
8	2	376	376	192	0.178912	0.184928
8	2	284	284	193	0.166554	0.16949
8	2	272	272	195	0.133293	0.144445
8	2	344	344	188	0.203055	0.209797
16	2	1724	1724	760	1.20806	1.20858
16	2	1532	1532	762	1.47845	1.4839
16	2	1452	1452	771	1.30272	1.32349
16	2	1604	1604	751	1.29592	1.36509
16	2	1236	1236	766	1.43959	1.50353
2	3	16	16	7	0.0251148	0.0380669
2	3	16	16	3	0.0237849	0.0375211
2	3	16	16	8	0.0263941	0.039676
2	3	16	16	7	0.0232351	0.0387211
2	3	16	16	4	0.026541	0.037359
4	3	64	64	52	0.054558	0.0619721
4	3	64	64	49	0.048583	0.05007
4	3	64	64	45	0.0450652	0.045738
4	3	68	68	43	0.074106	0.0751309
4	3	68	68	49	0.0811429	0.0820229
8	3	272	272	182	0.176667	0.177295
8	3	260	260	193	0.156107	0.171513
8	3	272	272	189	0.165065	0.16572
8	3	260	260	176	1.11279	1.11342
8	3	256	256	190	0.155369	0.156022
16	3	1348	1348	737	1.56109	1.56246
16	3	1352	1352	720	1.29074	1.29198
16	3	1144	1144	743	1.32368	1.32444
16	3	1192	1192	731	1.38096	1.38221
16	3	1268	1268	761	0.626895	0.6274
2	4	16	16	7	0.021179	0.0370529
2	4	16	16	7	0.0239959	0.0385149
2	4	16	16	8	0.0261931	0.039113
2	4	16	16	10	0.0201731	0.040015
2	4	16	16	4	0.0217531	0.0378821
4	4	68	68	45	0.061079	0.0615091
4	4	64	64	48	0.0385768	0.0391009
4	4	68	68	48	0.059937	0.061301
4	4	68	68	49	0.056617	0.0626512
4	4	68	68	50	0.0603371	0.068058
8	4	308	308	192	0.145969	0.147557
8	4	384	384	193	0.119843	0.120351
8	4	256	256	186	0.113203	0.114324
8	4	404	404	186	1.0996	1.10298
8	4	272	272	195	0.112639	0.120494
16	4	1380	1380	750	1.16389	1.16473
16	4	1788	1788	765	1.11879	1.11927
16	4	1364	1364	749	1.14071	1.14233
16	4	1464	1464	699	1.2425	1.24318
16	4	1792	1792	769	1.37817	1.3787
